"Risk ID","Item Description",Function,"Tech. Class",Novel Aspects,"Failure Mode","Failure Effects (Local, WEC, System)","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative
Detection","Post Failure Detection","Post Failure Repair Strategy (automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",DVN GL comments,CPWR Response Notes,Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status (open or closed)",Notes
200-1,PTO,"PTO functions are electromechanical energy conversion, torque transmission,
constrain generator to 1DOF rotation and maintain rotor/stator airgap, with minimal friction. The PTO is composed of electrical and mechanical components. ",2,Marine application,"Structural failure
Loss of PTO","Mechanical 
Severe structural failure
WEC is no longer functioning",Loading in fore-in-aft configuration greater than predicted (note that CPwr numerical modeling is not able to accurately represent the very low freeboard fore float in fore-in-aft configuration),Normal,"1) Conservative partial safety factor
2) Numerical modeling with additional freeboard","monitoring strain gauges (likely not on the fore float or arms, but rather on the shaft and/or nacelle tube)","1) Surveillance
2) SCADA
3) etc","Dry dock repair if possible, if not loss of projects",3,4,7,9,9,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determine where strain monitoring can be used effectively
210-1,Stator Segment,Electromechanical energy conversion,2,"Marine application
","Fire/smoke due to electrical short
Loss of stator segment
Loss of PTO","Electrical 
1) Stator segment is is electrical isolated 
2) PTO is shutdown and electrically isolated.
3) Heat production in shorted segment
4) Freshwater cooling flow is increased
5) smoke/fire 
6) Fire spreads
","Electrical short (non-moisture or corrosion)
- Short in coils
- Short in connector
- Short in PTC or KTY circuit
Creating an overheating condition which leads to fire/smoke
",Normal,"1) Segmented design
2) PTC elements iniating automatic disconnect on overtemperature
3) Circuit breaker isolates each stator segment on over current and/or ground fault
3) Quality marine design and manufacturing
4) V&V (insulation check, pulse test, high voltage test)","1) Automated stator disconnect, overcurrent protection.
2) PTC element initiates overtemperature shutdown.
3) KTY 84 sensor - temperature monitoring circuit for data trend analysis 
2) Stator group performance analysis, data trend.
","1) PTC Stator fault Alarm - overtemperature stator segment
2) PTO shutdown fault Alarm
3) PTO fire Alarm
4) PTO compartment air quality monitoring & alarm
5) Surveillance system - PTO visible & IR camera",Dry dock repair/overall depending on extent of the fire damage,4,1,3,7,7,Low,Low,Low,Low,"Demonstrate fire can be contained within a compartment. Definition of the acceptable damage due to fire to be provided, and it has to be demonstrated that extent of fireproofing is compatible with the allowable damage.
Manufacturing documentation to demonstrate the frequency of short circuit of coils are compatible with the occurrence class defined.","CP to clarify if temperature monitoring of the stator segments/coil is present?
Suggest text for recommended action:
Demonstrate fire can be contained within a compartment. Definition of the acceptable damage due to fire to be provided, and it has to be demonstrated that extent of fireproofing is compatible with the allowable damage.
Manufacturing documentation to demonstrate the frequency of short circuit of coils are compatible with the occurrence class defined.
","Each stator has KTY 84 sensor - temperature monitoring circuit and a PTC element for overtemperature shutdown.  Stators short circuit torque is less then rated torque, no mechanical issue.  Average thermal dissipation (heat) is much lower then rated. Further investigation during LandRAY testing will refine cooling requirements and cooling system controls. Cooling system will meet or exceed flow requirements of stator continuous load rating.  Stators will be rating either IEC 600034-1 S3, S9, or other based on LandRAY testing. LandRAY stator is rated S3, and will be analyzed for S9 non-periodic load and speed variations, and for real seas stochastic load variations. ",JP,,,,,,,,,,,,,,,,,,,,,,,,
210-1,Stator Segment,Electromechanical energy conversion,2,"Marine application
","Loss of stator segment due to high heat,
Loss of PTO ","Electrical 
1) Stator is isolated, PTC overtemperature initiates segment isolation breaker to open 
2) PTO inisates a controlled shutdown
3) Heat production in shorted segment
4) Cooling system flow is increased to reduce temperature
","Overheating - single stator segment cause by:
1) Short circuit in stator segment
2) Faulty PTC temperature
3) Short in back iron leading to high eddy current losses. 
4) Stator segment internal cooling tube blockage or leak. 
",Normal,"1) Segmented design
2) PTC elements iniating automatic disconnect on overtemperature
3) Circuit breaker isolates each stator segment on over current and/or ground fault
3) Quality marine design and manufacturing
4) V&V (insulation check, pulse test, high voltage test)
","1) KTY 84 sensor - temperature monitoring circuit for data trend analysis of each segment
2) Stator group performance analysis, data trend.
","1) Stator fault Alarm - overtemperature stator segment
2) PTO shutdown fault Alarm
3) KTY temperature monitor data
","1) Dry dock repair to replace stator segment, 
2) Determine segment is not an issue, and operate PTO with one less segment. PTO is design to operate with any number of stator segments to reduce dry dock repair frequency in the case of a stator segment fault.",5,1,3,4,4,Low,Low,Low,Low,LandRAY - Testing reports of the stator segment to demonstrate that temperature of the stator segment is below the limit for overheating. The environment for testing shall replicate the actual operating conditions in WEC.,"Suggest text for recommended action:
Testing reports of the stator segment to demonstrate that temperature of the stator segment is below the limit for overheating. The environment for testing shall replicate the actual operating conditions in WEC. 
","Overheating in single stator segment would note normally not lead to fire. Segment is immediately electrically isolated from the rest of the generator/electric plant. PTO controlled shut-down is initiated. Service request is submitted. 
**(Cooling demand is less then stator segment rated. Cooling system is design to be meet maximum rated cooling flow of segments. To increase efficiency, cooling flow is reduced to meet demand.) ",JP,,,,,,,,,,,,,,,,,,,,,,,,
210-2,Stator Segment,Electromechanical energy conversion,2,"Marine application
",Single Multiple stator segment failure,"Mechanical 
1) Heat in segment due to eddy currents at back iron corrosion location.
2) Corrosion leads to electrical short in coils, high heat and current.
3) Stator segment is electrically isolated, PTO is shut down. 
5) Deformation/expansion from overheating rusting back iron and reduction of air gap.
6) Impact with rotor, debris from damage travel to air gap causing damage to other segments and ultimately failure of the generator",Corrosion induced failure ,Normal,"1) Resin encased stators
2) Sealing epoxy coating on stator segments to seal any mirco cracks in resin
2) Automatic disconnect due to overtemperaure
3) Automatic disconnect on overcurrent
4) Stainless and aluminum stator housing materials


","1) Visual inspection
2) Surveillence system cameras
3) KTC stator tempature profile monitoring. Alarm if out of operating range before overtemperature.

","1) PTC Stator fault Alarm - overtemperature stator segment
2) PTO shutdown fault Alarm
3) Surveillance system - PTO visible & IR camera
4)Vibration monitoring: Vibration sensor threshold high alarm. ",Dry dock repair ,4,1,1,7,7,Low,Low,Low,Low,,Multiple stator segment failure in the failure mode is because of the possible resultant damage due to the debris in the air gap (from mechanical failure of a stator segment). ,"Multiple stator failures considered. Risk is similar because occurrence goes down and severity goes up.
Specific to mechanical failure - complete structure degradation of stator segment. Very unliked.",,,,,,,,,,,,,,,,,,,,,,,,,
210-3,Stator Segment,Electromechanical energy conversion,2,"Marine application
",Single Multiple stator segment failure ,"Mechanical 
1) Heat in segment due to eddy currents at back iron corrosion location.
2) Corrosion leads to electrical short in coils, high heat and current.
3) Stator segment is electrically isolated, PTO is shut down. 
5) Deformation/expansion from overheating rusting back iron and reduction of air gap.
6) Impact with rotor, debris from damage travel to air gap causing damage to other segments and ultimately failure of the generator",Manufacturing defect results in failure,Normal,"1) Commercial product
2) V&V (QC)
","1) Visual inspection
2) Surveillence system cameras
3) KTC stator tempature profile monitoring. Alarm if out of operating range before overtemperature.

","1) PTC Stator fault Alarm - overtemperature stator segment
2) PTO shutdown fault Alarm
3) Surveillance system - PTO visible & IR camera
4)Vibration monitoring: Vibration sensor threshold high alarm. ",Dry dock repair ,3,1,1,7,7,Low,Low,Low,Low,,"General comment for components with ""Manufacturing defect results in failure"" as the failure cause:
Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class. Please confirm.",Commercial manufacturing techniques used for linear motors. Reliable compatible since manufacturing method is established and proven successful.   ,,,,,,,,,,,,,,,,,,,,,,,,,
210-4,Stator Segment,Electromechanical energy conversion,2,"Marine application
",Single stator segment failure ,"Electrical 
1) Stator is isolated, PTC overtemperature or over current shutdown. 
2) PTO inisates a controlled shutdown
3) Heat production in shorted segment
4) Cooling system flow is increased to reduce temperature
","Moisture induced failure, moisture leads to stator internal electrical short. ",Normal,"1) Resin encased stators
2) Sealing epoxy coating on stator segments to seal any mirco cracks in resin
2) Automatic disconnect due to overtemperaure
3) Automatic disconnect on overcurrent
4) Stainless and aluminum stator housing materials
5) Each segment has isolation breaker.","1) Compartment environmental moniotring - moisture and humidity kept within compartmetnal specifications by climate control system
2) Bilge level sensor
3) Surveillence system cameras
4) Visual inspection
5) KTC stator tempature profile monitoring 

","1) PTC Stator fault Alarm - overtemperature and overcurrent stator segment
2) PTO shutdown fault Alarm
3) Compartment environmental monitoring and bilge sensors
4) Surveillance system - PTO visible & IR camera
5) Visual inspection
",Dry dock repair ,4,1,1,7,7,Low,Low,Low,Low,,,Moisture/ater induced electrical fault that does not lead to fire is more likely then fire.  Need to reduce occurance of fire/smoke. ,,,,,,,,,,,,,,,,,,,,,,,,,
210-5,Stator Segment,Electromechanical energy conversion,2,"Marine application
",Multiple stator segment failure ,"Mechanical 
1) Loss of stator segment
2) Loss of PTO - control shutdown after segment is lost.
3) Heat in segment
4) Damage to components and debris travel to air gap causing more damage",Vibration induced failure,Normal,"1) Vibration monitoring
2) Stator Cart design engages segment locally to rotor
3) Reduced cogging forces
4) Structural rigidity high for extreme loads. Vibration load causes very minimal deflection/movement.
5) Structural design

","1) Vibration monitoring
2) Torque rod load cells on smart cart.
","1) PTC Stator fault Alarm - overtemperature and overcurrent stator segment
2) PTO shutdown fault Alarm
3) Surveillance system - PTO visible & IR camera
4) Visual inspection
",Dry dock repair ,5,1,1,7,7,Low,Low,Med,Med,,"Probability class lower than that for FLS design because  of multiple failure of stator segment 
Suggested text for recommended action :
Manufacturing documentation to demonstrate the limits of vibration level on the component is higher than the maximum level of vibration of the WEC.","Vibration load should have minimal/negligible effects on the stator cart.  Initial analysis of design shows extreme loads much higher; therefore, due to rigidity of the design, deflection of component (stator cart and relative position on rotor) during vibration is fiducial, below reasonability detectable.  What is required for this proof?",,,,,,,,,,,,,,,,,,,,,,,,,
210-6,Stator Segment,Electromechanical energy conversion,2,"Marine application
",Multiple stator segment failure ,"1) Loss of stator segment
2) Loss of PTO
3) Damage to components and debris travel to air gap causing more damage",Accidental impact from rotor or Operational impact between stator segment and rotor.,Normal,"1) Stator cart design 
- localize tolerances to a single segment
- localize and isolate loads 
- Position of stator localized to rotor position below stator.","1) Airgap sensors on smart cart
2) Noise monitoring
3) Surveillance systems - camera visually inspections
","1) SCADA diagnostics - PTO shutdown
2)  Audio  noise threshold alarm
3) Vibration sensors
4) Suveillance system - camera 
 ",Dry dock repair ,3,1,1,7,7,Low,Low,Low,Low,,"Suggest text for recommended action:
Demonstrate, via analysis, that contact between stator and rotor segments can be avoided in the worse load case. If impact is possible, then the structural analysis shall demonstrate structural integrity of the component is within the acceptance criteria when subject to the impact","Design of stator care and rail bearingssystem, and FEA analysis of design for extreme loading, designed and proven no contact. Worst load case does not effect airgap, only acceleration in the X-Y axis, which in extreme increases airgap, not decreases. ",,,,,,,,,,,,,,,,,,,,,,,,,
220-1,"Rotor Segment
mounting",Hold rotor in place,2,Marine application,mechanical failure,"1) Rotor segment impacts stator segments
- Magnet comes loose
- Corrosion bubbles up the magent material greater than airgap
- Material scraping and damage to surfaces
",Corrosion induced failure ,Normal,"1) Proper hardware material selection
2) Rotor special moisture resistance epoxy coating
3) Magnet coating design for marine applications
","1) Compartment environmental moniotring - moisture and humidity kept within compartmetnal specifications by climate control system
2) Bilge level sensor
3) Surveillence system cameras
4) Visual inspection
5) KTC stator tempature profile monitoring 

","1) Surveillance system - PTO visible & IR camera
2)Vibration monitoring: Vibration sensor threshold high alarm. ",Dry dock repair,5,1,1,7,7,Low,Low,Med,Med,,"Assume it has the same occurrence class as operation impact. Recommended action same as that for stator segment.
Please clarify what is the corrosion protection system on the rotor segment mounting.",Corrosion coating rated to meet or exceed the compartmental rating of the generator.  Each Rotor segment is vacuum impregnated with epoxy resin and them coating with marine grade epoxy coating.,,,,,,,,,,,,,,,,,,,,,,,,,
220-2,"Rotor Segment
mounting",Hold rotor in place,2,Marine application,mechanical failure,"T-bar hardware failure
 - Bolts that hold T bar in place",Manufacturing defect results in failure,Normal,"1) V&V
 - Quality of bolt
 - Torque spec inspection
2) Adjacent rotor hold rotor in place with magnetic force coupling of permanent magnets","1) Surveillence system cameras
2) Visual inspection
3) Airgap measurement on smart stator cart","1) Surveillance system - PTO visible & IR camera
2)Vibration monitoring: Vibration sensor threshold high alarm. ",Dry dock repair,3,1,1,7,7,Low,Low,Low,Low,,See risk ID 210-3 for comment,Material selection and sourcing.  Quality bolts.,,,,,,,,,,,,,,,,,,,,,,,,,
220-3,"Rotor Segment
mounting",Hold rotor in place,2,Marine application,mechanical failure,"1) Rotor segment impacts stator segments
",Vibration induced failure,Normal,"1) Use of COTS mounting technique
2) Proper torque spec on hardware for mounting to FRP backing","1) Surveillence system cameras
2) Visual inspection
3) Airgap measurement on smart stator cart",Surveillance camera,Dry dock repair,7,1,1,7,7,Low,Low,Med,Med,"The recommended action is to investigate the dynamic movement of the rotor and assess the effect of the vibration loads on the structure integrity (fatigue) of the component. The acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
The FE analysis, considering these failure mechanisms, need to demonstrate the structural strength is within the acceptance criteria in the standard and the impact on functionality of the device is within the acceptance criteria. 
The monitoring of the vibration shall be done to identify the level of vibrations during in-service life. If any excessive vibration is detected, intervention is required to reduce the vibration level below the maximum level, as defined in the acceptance criteria (conditioning monitoring). ","Probability class same as FLS design
Suggested text for recommended action:
The recommended action is to investigate the dynamic movement of the rotor and assess the effect of the vibration loads on the structure integrity (fatigue) of the component. The acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
The FE analysis, considering these failure mechanisms, need to demonstrate the structural strength is within the acceptance criteria in the standard and the impact on functionality of the device is within the acceptance criteria. 
The monitoring of the vibration shall be done to identify the level of vibrations during in-service life. If any excessive vibration is detected, intervention is required to reduce the vibration level below the maximum level, as defined in the acceptance criteria (conditioning monitoring). ","Extreme is much higher than vibration, for most cases, virbation fatique failure not a concern due to the extreme load design cases much higher then vibration. Will be investigatd further during LandRAY. As recommended, the acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
Why is occurrence high? (7).   T-bar rotor attachment is a commerical standard used by Siemens.  The only varaition is using FRP for the rotor tire.  Torque specificaion takes into consideration the FRP properties. Analysis will be made and risk should be low.",,,,,,,,,,,,,,,,,,,,,,,,,
220-4,Rotor Segment,Create magnetic field ,2,Marine application,Failure of single rotor magnet,"1) Loss of field strength 
2) Reduction in voltage
3) Reduction in power",Corrosion induced failure ,Normal,"1) Resin encased
2) Special marine grade epoxy coating on surface mountied magnets","Visual inspection
","Visual inspection
",Dry dock repair,5,1,1,6,7,Low,Low,Low,Med,"Demonstrate, via manufacturing documentation or testing reports, that the long term integrity of the coating is within the design criteria for the corrosion protection system on the rotor.","Please state the material of the bolts and its corrosion protection system.
Suggest text for recommended action:
Demonstrate, via manufacturing documentation or testing reports, that the long term integrity of the coating is within the design criteria for the corrosion protection system on the rotor.",Components are/will designed to exceed the compartment environmental rating. Documentation of magnetic rotor segments and associated mounting hardware will be included,,,,,,,,,,,,,,,,,,,,,,,,,
220-5,Rotor Segment,Create magnetic field ,2,Marine application,Failure of single rotor magnet,"1) Loss of field strength 
2) Reduction in voltage
3) Reduction in power",Manufacturing defect results in failure,Normal,V&V,"Visual inspection
","Visual inspection
",Dry dock repair,4,1,1,6,7,Low,Low,Low,Low,,Occurrence is low based on the assumption that Siemens is able to provide evidence for reliability compatible to the occurrence class. Please confirm,"Yes, Siemens is using commercial manufacturing techniques and quality control which will result in s low probability of manufacturing defects. ",,,,,,,,,,,,,,,,,,,,,,,,,
220-6,Rotor Segment,Create magnetic field ,2,Marine application,Failure of single rotor magnet,"1) Loss of field strength 
2) Reduction in voltage
3) Reduction in power",Vibration induced failure,Normal,"1) Resin encased
2) Modal analysis","Visual inspection
","Visual inspection
",Dry dock repair,7,1,1,6,7,Low,Low,Med,Med,,Probability class same as FLS design,Why is occurrence high? (7).   T-bar rotor attachment is a commerical standard used by Siemens.  The only varaition is using FRP for the rotor tire.  Torque specificaion takes into consideration the FRP properties. Analysis will be made and risk should be low.  Also StingRAY has a shorter deployment life.,,,,,,,,,,,,,,,,,,,,,,,,,
220-7,Rotor Segment,Create magnetic field ,2,Marine application,"1) Short circuit in stator - high current and heat leading to
2) de-magnetization of magnets over range of operation of faulted stator segment. ",Reduced magnetic field (EMF) for part of the rotor over the theta angle range of operation. ,"Fault in stator segment
- High current
- High heat
Coupled with vibration",Normal,"1) Rare earth NdFeB magnetics reduce risk of de-mag
2) Airgap designed for mutual inductance high enough to protect against short circuit current.  Includes knowledge of phase shift of current with regards to the electrical pole position, out of pole alignment, reduced ability to demagnetize
","Design 

",None ,Dry dock repair,3,1,1,6,6,Low,Low,Low,Low,,"De-magnetization of magnets (BH-curves of magnet material at elevated temperatures) due to short-circuit in e.g. connection line should be addressed as a risk somewhere, where the failure cause can range from material defects over thermal issues to damages by service personnel. Please update the FMECA.","OK, this is a second level contingency design, first there must be a short circuit in stator segment - Siemens noted as low risk due the NdFeB magnets, short circuit with relutance of magnetic circuit and phase shift of current would not normally cause de-mag. It should be documented and explained in more detail.",,,,,,,,,,,,,,,,,,,,,,,,,
230-1,Stator Cables,Connection between stator segments in PTO compartment to MoMos in dry control room,1,none,Stator cable open,"1) Loss of stator segment
2) Other stator segments with same MoMo gets extra current for one wave cycle
3) failure detected
4) Command higher damping on other 35 stators
5) Reduced efficiency",Corrosion induced failure ,Normal,"1) Marine rated cable and corrector
2) Climate control",,SCADA diagnostics,Accept failure or dry dock repair,7,1,1,4,4,Low,Low,Low,Low,,"Low severity assuming single failure
Corrosion occurrence in line with corrosion failures (FLS)",,,,,,,,,,,,,,,,,,,,,,,,,,
230-2,Stator Cables,Connection between stator segments in PTO compartment to MoMos in dry control room,1,none,Stator cable open,"1) Loss of stator segment
2) Other stator segments with same MoMo gets extra current for one wave cycle
3) failure detected
4) Command higher damping on other 35 stators
5) Reduced efficiency",Manufacturing defect results in failure,Normal,"1) Commercial product
2) V&V (QC)
",,SCADA diagnostics,Accept failure or dry dock repair,3,1,1,4,4,Low,Low,Low,Low,,Low severity assuming single failure,,,,,,,,,,,,,,,,,,,,,,,,,,
230-3,Stator Cables,Connection between stator segments in PTO compartment to MoMos in dry control room,1,none,Stator cable short,"1) Loss of stator segment
2) Heat in segment
3) Command higher damping on other 35 stators
4) Reduced efficiency
",Moisture induced failure,Normal,"1) Marine rated cable and corrector
2) Climate control
",,SCADA diagnostics,"1) Automatic breaker trip
2) accept failure or dry dock repair",4,1,1,4,4,Low,Low,Low,Low,,Low severity assuming single failure,,,,,,,,,,,,,,,,,,,,,,,,,,
230-4,Stator Cables,Connection between stator segments in PTO compartment to MoMos in dry control room,1,none,Stator cable open,"1) Loss of stator segment
2) Other stator segments with same MoMo gets extra current for one wave cycle
3) failure detected
4) Command higher damping on other 35 stators
5) Reduced efficiency",Vibration induced failure,Normal,"1) Marine rated cable and corrector
",,SCADA diagnostics,Accept failure or dry dock repair,7,1,1,4,4,Low,Low,Low,Low,,Low severity assuming single failure,,,,,,,,,,,,,,,,,,,,,,,,,,
240-1,PTO to hull interface,Transfer PTO and rotor loads to sub-structure,2,Loading,FRP fracture,"1) Loss of torque transmitted by PTO
2) Flooded PTO compartment
3) Debris broken off",Wear/fatigue,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,4,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",Please include the FMECA of item 240,,,,,,,,,,,,,,,,,,,,,,,,,,
240-2,PTO to hull interface,Transfer PTO and rotor loads to sub-structure,2,Loading,FRP fracture,"1) Loss of torque transmitted by PTO
2) Flooded PTO compartment
3) Debris broken off",Manufacturing defect,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,4,9,8,Low,Low,Med,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.",Please include the FMECA of item 240,,,,,,,,,,,,,,,,,,,,,,,,,,
240-3,PTO to hull interface,Transfer PTO and rotor loads to sub-structure,2,Loading,FRP fracture,"1) Loss of torque transmitted by PTO
2) Flooded PTO compartment
3) Debris broken off","Contamination, corrosion",Normal,FRP material selection,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,4,9,8,Low,Low,Med,Low,,Please include the FMECA of item 240,,,,,,,,,,,,,,,,,,,,,,,,,,
240-4,PTO to hull interface,Transfer PTO and rotor loads to sub-structure,2,Loading,FRP fracture,"1) Loss of torque transmitted by PTO
2) Flooded PTO compartment
3) Debris broken off",Extreme loading,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,4,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling",Please include the FMECA of item 240,,,,,,,,,,,,,,,,,,,,,,,,,,
250-1,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm",Wear/fatigue,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-2,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm",Manufacturing defect,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,3,1,1,9,8,Low,Low,Med,Low,"1) Cpower to provide evidence that maintenance not needed in 20 years by manufacturer for all loading cases and with use of lubrication system
2) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-3,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm","Contamination, corrosion",Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,,Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-4,PTO shaft,Transmit torque from float drive arm to the rotor,2,Loading,Steel fracture,"1) Shaft broken off
2) Loss of torque transmitted to PTO
3) Damage to nacelle tube from broken off shaft and float arm",Extreme loading,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) Research how to measure loads during StingRAY to increase certainty of extreme load modelling",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
250-5,PTO rotor,Transmit torque from drive shaft to rotor segments,2,Loading,FRP fracture,"1) FRP rotor no longer maintains airgap
2) Loss of PTO
3) Stator and rotor components damaged",Wear/fatigue,Normal,None,None,"1) Vibration sensors and bearing temperature
2) Abnormal speed with respect to the wave climate and damping",Dry dock repair,4,1,1,9,8,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",Please include the FMECA of item 250,,,,,,,,,,,,,,,,,,,,,,,,,,
